gender,senior,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn,avg_monthly_charges,internet_service-fiber_optic,internet_service-no,contract-one_year,contract-two_year,payment_method-credit_card_auto,payment_method-electronic_check,payment_method-mailed_check
1,0,1,1,18,1,0,0,0,1,1,0,0,1,54.4,957.1,0,53.172222222222224,0,0,1,0,1,0,0
1,0,0,0,9,1,1,0,0,0,0,1,1,0,94.4,857.25,1,95.25,1,0,0,0,0,1,0
1,0,0,0,3,1,0,0,1,0,1,1,1,1,75.3,244.1,0,81.36666666666666,0,0,0,0,0,1,0
0,0,1,0,47,1,1,0,1,0,0,0,0,1,78.9,3650.35,0,77.66702127659575,1,0,1,0,0,1,0
1,0,0,0,31,1,0,0,1,1,1,1,1,0,79.2,2497.2,0,80.55483870967741,0,0,0,1,0,0,1
1,0,1,1,50,1,0,0,0,0,0,0,0,0,20.15,930.9,0,18.618,0,1,0,1,0,0,0
0,0,0,0,10,1,0,1,0,1,0,0,0,1,79.85,887.35,0,88.735,1,0,0,0,0,0,1
0,0,0,0,1,1,0,0,0,0,1,0,0,0,49.05,49.05,0,49.05,0,0,0,0,0,0,1
1,0,1,1,52,1,0,0,0,0,0,0,0,1,20.4,1090.65,0,20.974038461538463,0,1,1,0,0,1,0
0,1,1,1,64,1,1,1,0,1,1,1,1,1,111.6,7099.0,0,110.921875,1,0,0,1,0,0,0
0,0,1,1,62,1,1,0,0,0,0,0,0,1,24.25,1424.6,0,22.97741935483871,0,1,0,1,0,0,0
1,0,0,1,3,1,0,1,0,0,1,0,1,1,64.5,177.4,0,59.13333333333333,0,0,0,0,0,0,0
1,1,0,0,56,1,1,1,1,1,0,1,1,0,110.5,6139.5,0,109.63392857142857,1,0,1,0,0,1,0
1,0,0,0,46,1,0,0,0,0,0,0,1,0,55.65,2688.85,0,58.45326086956521,0,0,1,0,1,0,0
1,0,1,1,8,1,0,1,1,0,0,0,0,0,54.65,482.25,0,60.28125,0,0,0,0,0,0,1
0,1,0,0,30,1,0,1,1,0,0,1,1,1,74.75,2111.3,0,70.37666666666668,0,0,0,0,0,1,0
1,0,1,1,45,1,1,0,0,0,0,0,0,1,25.9,1216.6,0,27.035555555555554,0,1,1,0,1,0,0
1,0,0,1,1,1,0,0,0,0,0,1,0,1,79.35,79.35,1,79.35,1,0,0,0,0,1,0
1,0,1,1,11,0,0,1,0,0,0,1,1,0,50.55,565.35,0,51.39545454545455,0,0,0,0,0,1,0
1,0,1,0,7,1,0,0,0,1,0,0,0,1,75.15,496.9,1,70.98571428571428,1,0,0,0,0,0,0
1,0,0,0,42,1,0,0,1,1,1,1,1,1,103.8,4327.5,0,103.03571428571429,1,0,0,0,0,0,0
1,0,1,0,49,1,0,0,0,0,0,0,0,1,20.15,973.35,0,19.864285714285714,0,1,0,1,0,0,0
0,0,0,0,9,1,1,0,1,0,0,1,1,1,99.3,918.75,0,102.08333333333333,1,0,0,0,1,0,0
1,0,1,0,35,1,0,1,0,0,0,1,0,1,62.15,2215.45,0,63.29857142857142,0,0,1,0,0,0,0
1,0,1,1,48,1,0,0,0,0,0,0,0,0,20.65,1057.0,0,22.020833333333332,0,1,0,1,0,0,0
1,0,1,1,46,1,0,0,0,0,0,0,0,1,19.95,927.1,0,20.15434782608696,0,1,0,1,0,0,1
0,0,1,0,29,0,0,0,0,0,0,1,0,0,33.75,1009.25,0,34.80172413793103,0,0,0,0,0,0,1
0,0,1,1,30,1,0,0,1,1,0,0,0,0,82.05,2570.2,0,85.67333333333333,1,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,1,0,0,0,74.7,74.7,0,74.7,1,0,0,0,0,1,0
0,0,1,1,66,1,1,1,0,1,1,1,1,1,84.0,5714.25,0,86.57954545454545,0,0,0,1,0,0,1
1,0,0,0,65,1,1,1,1,1,0,1,1,1,111.05,7107.0,0,109.33846153846154,1,0,0,0,1,0,0
0,0,0,0,72,1,1,0,1,1,0,1,1,1,100.9,7459.05,0,103.59791666666666,1,0,0,1,0,0,0
1,0,0,0,12,1,1,1,0,0,0,0,0,1,78.95,927.35,1,77.27916666666667,1,0,0,0,0,1,0
0,0,1,1,71,1,1,1,1,0,1,0,0,1,66.85,4748.7,0,66.8830985915493,0,0,1,0,1,0,0
0,0,0,0,5,1,0,0,0,0,0,0,0,0,21.05,113.85,1,22.77,0,1,0,0,0,0,1
0,0,0,0,52,1,0,0,0,0,0,0,0,0,21.0,1107.2,0,21.292307692307695,0,1,0,1,0,0,0
1,1,1,0,25,1,0,0,1,1,0,1,1,1,98.5,2514.5,1,100.58,1,0,0,0,0,1,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,20.2,0,1,0,0,0,0,1
1,0,1,1,1,1,0,0,0,0,0,0,0,0,19.45,19.45,0,19.45,0,1,0,0,0,1,0
0,0,0,0,38,1,1,0,0,1,1,1,0,0,95.0,3605.6,0,94.88421052631578,1,0,1,0,0,0,0
1,1,1,0,66,0,0,0,1,1,0,1,0,0,45.55,3027.25,0,45.86742424242424,0,0,1,0,0,0,0
0,0,1,0,68,1,1,0,1,1,1,1,1,1,110.0,7611.85,1,111.93897058823529,1,0,0,1,0,0,0
0,0,0,0,5,0,0,0,0,0,0,0,0,0,24.3,100.2,0,20.04,0,0,0,0,0,0,1
1,0,1,1,72,1,1,1,1,0,0,1,1,1,104.15,7303.05,0,101.43125,1,0,1,0,0,1,0
1,0,0,0,32,0,0,1,0,0,0,0,0,0,30.15,927.65,0,28.9890625,0,0,1,0,0,0,1
0,0,0,0,43,1,1,0,0,0,0,1,1,0,94.35,3921.3,0,91.19302325581396,1,0,1,0,0,0,1
0,0,1,1,72,1,0,0,0,0,0,0,0,0,19.4,1363.25,0,18.93402777777778,0,1,0,1,1,0,0
0,0,1,0,55,1,1,1,1,0,0,1,0,1,96.75,5238.9,1,95.25272727272727,1,0,0,0,0,1,0
1,0,0,0,52,1,0,1,0,1,1,0,0,0,57.95,3042.25,0,58.50480769230769,0,0,1,0,1,0,0
1,0,0,0,43,1,0,0,1,1,0,1,0,1,91.65,3954.1,0,91.95581395348837,1,0,0,0,0,1,0
1,1,1,0,37,1,1,0,0,0,0,0,0,1,76.5,2868.15,1,77.51756756756757,1,0,0,0,0,1,0
1,0,1,1,64,0,0,0,1,0,1,1,1,1,54.6,3423.5,0,53.4921875,0,0,0,1,0,1,0
0,0,1,1,3,1,0,1,1,0,0,1,0,0,89.85,248.4,0,82.8,1,0,0,0,0,1,0
1,0,0,0,36,0,0,1,0,0,0,0,0,0,31.05,1126.35,0,31.287499999999998,0,0,0,1,0,0,0
1,0,1,1,10,1,1,1,0,0,0,1,1,1,100.25,1064.65,1,106.465,1,0,0,0,0,1,0
1,0,0,0,41,1,0,0,0,0,0,0,0,0,20.65,835.15,0,20.36951219512195,0,1,0,1,0,0,1
0,0,1,1,27,1,1,0,1,0,1,0,0,1,85.2,2151.6,0,79.68888888888888,1,0,0,0,1,0,0
1,0,1,1,56,1,1,0,0,1,0,1,1,1,99.8,5515.45,0,98.49017857142857,1,0,1,0,1,0,0
1,0,0,0,6,1,0,0,0,0,0,0,0,0,20.7,112.75,0,18.791666666666668,0,1,0,0,0,0,1
0,0,0,0,3,1,1,0,0,0,0,0,0,1,74.4,229.55,1,76.51666666666667,1,0,0,0,0,1,0
1,0,1,1,7,1,0,1,0,0,0,0,0,0,50.7,350.35,0,50.050000000000004,0,0,0,0,0,0,1
1,0,1,1,4,1,0,0,0,0,0,0,0,0,20.85,62.9,0,15.725,0,1,0,0,0,0,1
0,0,0,0,33,1,0,1,0,0,1,1,0,1,88.95,3027.65,0,91.7469696969697,1,0,0,1,0,1,0
1,1,0,0,27,1,1,0,0,1,0,0,0,1,78.05,2135.5,1,79.0925925925926,1,0,0,0,0,1,0
0,0,1,0,72,1,1,0,0,0,0,0,0,1,23.55,1723.95,0,23.94375,0,1,0,1,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,19.75,19.75,0,19.75,0,1,0,0,0,0,1
0,1,0,0,71,0,0,1,1,0,0,1,1,1,56.45,3985.35,0,56.131690140845066,0,0,1,0,0,1,0
1,0,0,0,13,1,1,0,0,0,0,0,1,1,85.95,1215.65,0,93.51153846153846,1,0,0,0,0,1,0
1,0,1,1,25,0,0,1,1,1,0,1,1,1,58.6,1502.65,1,60.106,0,0,0,0,1,0,0
0,0,0,0,67,1,0,0,0,0,1,0,0,0,50.55,3260.1,0,48.65820895522388,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,1,35.45,35.45,1,35.45,0,0,0,0,0,1,0
0,0,0,0,2,1,0,0,0,0,0,0,0,0,44.35,81.25,1,40.625,0,0,0,0,0,1,0
1,0,0,0,43,1,1,0,0,0,0,0,0,1,25.7,1188.2,0,27.632558139534886,0,1,0,1,1,0,0
1,0,0,0,23,1,0,1,0,0,0,0,0,1,75.0,1778.5,0,77.32608695652173,1,0,0,0,0,0,0
1,0,1,1,64,1,0,0,0,0,0,0,0,0,20.2,1277.75,0,19.96484375,0,1,0,1,0,0,1
0,0,0,1,57,1,0,0,0,0,0,0,0,1,19.6,1170.55,0,20.5359649122807,0,1,0,1,0,0,1
1,1,1,0,1,1,0,0,0,0,0,0,0,1,70.45,70.45,1,70.45,1,0,0,0,0,0,1
1,1,1,1,72,1,1,1,1,1,1,1,1,1,88.05,6425.65,0,89.24513888888889,0,0,0,1,1,0,0
1,0,0,0,8,1,1,1,0,0,1,0,1,0,71.15,563.65,1,70.45625,0,0,0,0,0,1,0
1,0,1,0,61,1,1,0,1,0,0,1,1,1,101.05,5971.25,0,97.88934426229508,1,0,0,1,0,0,0
0,0,0,0,64,1,1,1,1,0,0,0,0,1,84.3,5289.05,0,82.64140625,1,0,1,0,1,0,0
0,1,1,0,71,1,1,0,0,0,0,0,0,0,23.95,1756.2,0,24.735211267605635,0,1,0,1,0,0,0
1,0,1,1,65,1,1,1,1,0,1,1,0,1,99.05,6416.7,0,98.71846153846154,1,0,0,1,1,0,0
0,0,0,0,3,1,0,0,0,0,0,0,0,0,19.6,61.35,0,20.45,0,1,1,0,0,0,1
0,0,0,0,1,1,0,0,0,0,0,0,0,1,45.65,45.65,1,45.65,0,0,0,0,0,1,0
0,0,0,1,30,1,0,0,1,1,0,1,0,0,64.5,1929.95,0,64.33166666666666,0,0,1,0,1,0,0
0,0,1,1,15,1,0,0,1,1,1,0,1,1,69.5,1071.4,0,71.42666666666668,0,0,0,0,0,0,1
1,0,1,1,8,1,0,0,0,0,1,1,1,1,68.55,564.35,0,70.54375,0,0,0,0,0,1,0
0,0,0,0,7,1,1,0,0,0,0,1,1,0,95.0,655.5,1,93.64285714285714,1,0,0,0,0,0,1
1,0,1,1,70,1,1,1,1,1,0,1,1,1,108.15,7930.55,0,113.29357142857143,1,0,1,0,1,0,0
0,0,1,1,62,1,0,1,1,1,1,1,1,0,86.1,5215.25,0,84.11693548387096,0,0,0,1,0,1,0
1,0,1,1,6,1,0,0,0,0,0,0,0,0,19.7,113.5,0,18.916666666666668,0,1,0,0,0,0,1
1,0,1,1,14,1,0,0,0,0,0,0,1,1,80.9,1152.8,0,82.34285714285714,1,0,0,0,0,0,0
1,0,0,0,22,1,1,0,0,0,0,1,0,1,84.15,1821.95,0,82.81590909090909,1,0,0,0,0,0,0
0,0,1,1,22,1,0,0,0,0,0,0,0,0,20.15,419.9,0,19.086363636363636,0,1,1,0,0,0,1
0,0,1,1,16,1,0,1,0,1,0,1,0,0,64.25,1024.0,0,64.0,0,0,0,1,0,0,1
0,0,0,0,10,1,1,0,0,0,0,0,0,0,25.7,251.6,0,25.16,0,1,0,1,0,0,0
1,0,0,1,13,1,0,1,1,0,0,0,0,1,56.0,764.55,0,58.81153846153846,0,0,0,0,0,1,0
1,0,1,0,20,1,1,1,0,0,0,0,0,0,82.4,1592.35,1,79.61749999999999,1,0,0,0,0,1,0
1,0,0,0,2,1,0,0,0,0,0,0,0,1,69.7,135.2,0,67.6,1,0,0,0,0,1,0
0,0,0,0,53,1,1,0,1,1,1,0,1,1,73.9,3958.25,0,74.68396226415095,0,0,0,1,0,0,0
1,0,1,1,11,1,0,0,0,0,0,0,0,0,20.6,233.9,0,21.263636363636365,0,1,1,0,0,0,1
0,0,1,0,69,1,0,0,0,0,0,0,0,0,19.9,1363.45,0,19.76014492753623,0,1,0,1,0,0,1
1,0,0,0,4,1,0,0,0,0,0,0,0,1,70.9,273.0,1,68.25,1,0,0,0,0,0,0
0,0,1,0,72,1,1,1,1,1,1,1,1,1,89.05,6254.45,0,86.86736111111111,0,0,0,1,0,0,0
0,1,1,0,58,0,0,0,1,1,0,0,1,1,45.3,2651.2,1,45.710344827586205,0,0,0,0,0,1,0
1,0,1,1,16,1,0,0,0,0,0,0,0,0,20.4,321.4,0,20.0875,0,1,0,0,0,1,0
0,0,1,0,43,1,0,1,0,1,1,0,0,1,84.25,3539.25,0,82.30813953488372,1,0,1,0,0,0,0
1,0,1,0,2,1,1,0,0,1,1,1,1,1,104.4,242.8,1,121.4,1,0,0,0,0,1,0
0,0,1,0,14,1,0,0,1,1,1,1,1,0,81.95,1181.75,0,84.41071428571429,0,0,0,1,0,0,1
1,0,1,0,53,1,0,0,0,1,0,1,1,1,94.85,5000.2,1,94.3433962264151,1,0,1,0,0,0,0
1,0,0,0,32,1,0,0,0,0,0,0,0,0,20.55,654.55,0,20.4546875,0,1,1,0,0,0,0
1,0,1,0,34,1,1,0,0,0,0,0,0,0,24.7,780.2,0,22.947058823529414,0,1,0,0,0,1,0
1,1,0,0,15,1,1,0,0,0,0,0,0,1,74.45,1145.7,1,76.38000000000001,1,0,0,0,0,0,1
1,1,0,0,7,1,0,1,0,0,0,0,0,0,76.45,503.6,1,71.94285714285715,1,0,0,0,0,0,0
1,0,1,1,15,1,1,0,1,1,0,1,1,1,105.35,1559.25,0,103.95,1,0,0,0,0,0,0
0,0,1,0,61,1,0,0,0,0,0,0,0,1,20.55,1252.0,0,20.524590163934427,0,1,1,0,1,0,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,29.95,29.95,1,29.95,0,0,0,0,0,0,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,45.3,45.3,0,45.3,0,0,0,0,0,0,1
0,0,0,0,8,1,1,0,0,0,0,0,1,0,84.5,662.65,1,82.83125,1,0,0,0,0,0,0
0,0,1,1,33,1,0,1,0,1,0,1,1,0,74.75,2453.3,0,74.34242424242424,0,0,1,0,1,0,0
1,0,0,0,13,1,0,0,1,1,0,0,0,1,79.25,1111.65,1,85.51153846153846,1,0,0,0,0,1,0
1,0,1,0,1,0,0,0,0,0,0,0,0,1,24.8,24.8,1,24.8,0,0,0,0,0,1,0
0,0,0,0,20,1,0,0,1,0,0,0,0,1,51.8,1023.85,0,51.1925,0,0,0,0,0,0,1
0,0,0,0,3,0,0,0,0,0,1,0,0,0,30.4,82.15,0,27.383333333333336,0,0,0,0,0,1,0
1,0,0,0,13,1,0,0,0,0,0,0,0,0,19.65,244.8,0,18.83076923076923,0,1,1,0,0,1,0
1,0,1,0,40,1,1,0,1,0,0,0,0,0,56.6,2379.1,0,59.4775,0,0,0,0,1,0,0
0,0,1,1,43,1,1,1,0,0,1,0,1,1,71.9,3173.35,0,73.79883720930232,0,0,1,0,1,0,0
0,0,1,0,6,1,0,0,1,1,0,0,1,1,91.0,531.0,1,88.5,1,0,0,0,0,1,0
1,0,1,1,69,1,0,0,0,0,0,0,0,0,19.75,1375.4,0,19.933333333333334,0,1,0,1,0,0,0
1,0,1,1,72,1,1,1,1,1,0,1,1,0,109.7,8129.3,0,112.90694444444445,1,0,0,1,1,0,0
0,0,1,1,59,1,0,0,0,0,0,0,0,0,19.3,1192.7,0,20.215254237288136,0,1,0,1,1,0,0
1,0,1,0,20,1,0,1,1,0,1,1,0,1,96.55,1901.65,0,95.08250000000001,1,0,0,0,0,1,0
0,0,1,1,24,1,1,0,0,0,0,0,0,1,24.1,587.4,0,24.474999999999998,0,1,0,1,0,0,0
0,0,0,0,59,1,1,0,1,1,1,1,1,1,111.35,6519.75,0,110.5042372881356,1,0,0,0,0,1,0
0,0,1,1,72,1,1,0,1,1,1,1,1,1,112.25,8041.65,0,111.68958333333333,1,0,0,1,0,0,0
0,0,0,1,1,1,0,0,0,0,0,0,0,0,20.75,20.75,0,20.75,0,1,0,0,0,0,1
1,0,1,0,27,1,0,1,0,0,1,1,1,1,101.9,2681.15,0,99.30185185185185,1,0,1,0,1,0,0
1,0,0,0,14,1,0,0,1,0,1,0,0,1,80.05,1112.3,0,79.45,1,0,0,0,1,0,0
0,0,1,1,71,1,1,1,0,1,0,1,1,0,105.55,7405.5,0,104.30281690140845,1,0,0,1,0,1,0
0,0,0,1,13,1,0,0,0,0,0,1,0,1,78.3,1033.95,0,79.53461538461539,1,0,0,0,1,0,0
0,0,0,0,44,1,0,0,0,0,0,0,0,0,68.85,2958.95,0,67.24886363636364,1,0,0,0,1,0,0
1,0,0,0,33,1,0,0,1,0,1,0,0,1,79.95,2684.85,0,81.35909090909091,1,0,1,0,0,0,0
0,0,1,1,72,0,0,1,1,1,1,0,1,1,55.45,4179.2,0,58.044444444444444,0,0,0,1,1,0,0
0,0,0,0,1,1,0,0,0,0,0,0,1,0,79.9,79.9,1,79.9,1,0,0,0,0,1,0
1,0,0,0,19,1,0,1,0,1,1,1,1,1,106.6,1934.45,1,101.81315789473685,1,0,0,0,0,1,0
0,0,1,0,64,1,0,0,1,1,1,1,1,1,102.45,6654.1,0,103.9703125,1,0,1,0,1,0,0
0,0,0,0,2,1,0,0,0,0,0,0,0,1,46.0,84.5,1,42.25,0,0,0,0,1,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,25.25,25.25,0,25.25,0,0,0,0,0,1,0
0,0,0,1,61,1,0,0,0,0,0,0,0,0,19.75,1124.2,0,18.42950819672131,0,1,0,1,0,0,1
1,0,1,1,29,1,0,0,0,0,0,0,0,0,20.0,540.05,0,18.622413793103448,0,1,1,0,0,1,0
0,1,1,0,23,1,1,0,0,0,0,0,1,0,86.8,1975.85,0,85.90652173913043,1,0,0,0,0,1,0
1,0,1,0,57,0,0,1,1,1,0,1,1,1,58.75,3437.45,0,60.30614035087719,0,0,0,0,0,0,0
0,0,1,1,72,0,0,1,1,1,1,0,0,0,45.25,3139.8,0,43.608333333333334,0,0,0,1,1,0,0
0,0,1,0,66,0,0,1,1,1,1,1,0,1,56.6,3789.2,0,57.41212121212121,0,0,0,1,0,0,0
0,0,1,1,65,1,1,0,1,1,1,1,1,1,84.2,5324.5,0,81.91538461538461,0,0,0,1,0,0,0
1,0,0,0,8,1,0,0,0,0,0,1,0,1,80.0,624.6,0,78.075,1,0,0,0,0,0,0
1,0,0,0,4,1,0,0,0,0,0,0,0,1,70.15,268.35,1,67.0875,1,0,0,0,0,1,0
1,0,1,0,71,1,1,0,0,0,0,0,0,0,24.75,1836.9,0,25.871830985915494,0,1,0,1,0,0,0
0,0,1,1,1,1,0,0,0,0,0,0,0,1,20.2,20.2,0,20.2,0,1,1,0,0,1,0
0,0,1,0,4,1,0,0,0,0,1,0,0,0,50.05,179.35,1,44.8375,0,0,0,0,0,0,1
1,0,0,0,12,1,0,0,0,0,0,0,0,1,19.35,219.35,0,18.279166666666665,0,1,1,0,0,0,0
0,0,0,0,24,0,0,1,0,0,0,1,1,1,50.6,1288.75,0,53.697916666666664,0,0,1,0,0,0,1
1,0,1,1,31,1,0,1,0,1,1,1,1,1,81.15,2545.75,0,82.12096774193549,0,0,1,0,0,0,1
1,0,1,0,1,1,0,0,0,0,0,1,0,0,55.2,55.2,1,55.2,0,0,0,0,0,0,1
0,0,0,0,30,1,1,0,0,0,1,0,1,1,89.9,2723.15,0,90.77166666666668,1,0,0,0,1,0,0
1,0,1,1,47,1,1,1,1,0,1,1,1,1,85.3,4107.25,0,87.38829787234043,0,0,0,1,1,0,0
